Fecha,tipo_carne,flujo_id,Exportaciones
01/01/2006,Bovino fresca/refrigerada,2,6259643
01/02/2006,Bovino fresca/refrigerada,2,5808785
01/03/2006,Bovino fresca/refrigerada,2,6958760
01/04/2006,Bovino fresca/refrigerada,2,6370714
01/05/2006,Bovino fresca/refrigerada,2,7012924
01/06/2006,Bovino fresca/refrigerada,2,7553294
01/07/2006,Bovino fresca/refrigerada,2,8271994
01/08/2006,Bovino fresca/refrigerada,2,8113527
01/09/2006,Bovino fresca/refrigerada,2,7962187
01/10/2006,Bovino fresca/refrigerada,2,8238035
01/11/2006,Bovino fresca/refrigerada,2,8415985
01/12/2006,Bovino fresca/refrigerada,2,6937146
01/01/2007,Bovino fresca/refrigerada,2,7246722
01/02/2007,Bovino fresca/refrigerada,2,7144039
01/03/2007,Bovino fresca/refrigerada,2,8313810
01/04/2007,Bovino fresca/refrigerada,2,8588486
01/05/2007,Bovino fresca/refrigerada,2,8632383
01/06/2007,Bovino fresca/refrigerada,2,9061083
01/07/2007,Bovino fresca/refrigerada,2,8633797
01/08/2007,Bovino fresca/refrigerada,2,8853314
01/09/2007,Bovino fresca/refrigerada,2,7228556
01/11/2007,Bovino fresca/refrigerada,2,6721971
01/12/2007,Bovino fresca/refrigerada,2,7105523
01/01/2008,Bovino fresca/refrigerada,2,8809903
01/02/2008,Bovino fresca/refrigerada,2,7484166
01/03/2008,Bovino fresca/refrigerada,2,8978008
01/04/2008,Bovino fresca/refrigerada,2,9442961
01/05/2008,Bovino fresca/refrigerada,2,9120692
01/06/2008,Bovino fresca/refrigerada,2,9352580
01/07/2008,Bovino fresca/refrigerada,2,10279783
01/08/2008,Bovino fresca/refrigerada,2,7328214
01/09/2008,Bovino fresca/refrigerada,2,1346267
01/10/2008,Bovino fresca/refrigerada,2,2602866
01/11/2008,Bovino fresca/refrigerada,2,4765668
01/12/2008,Bovino fresca/refrigerada,2,8034698
01/01/2009,Bovino fresca/refrigerada,2,8606825
01/02/2009,Bovino fresca/refrigerada,2,7017403
01/03/2009,Bovino fresca/refrigerada,2,7989698
01/04/2009,Bovino fresca/refrigerada,2,8513522
01/05/2009,Bovino fresca/refrigerada,2,9946661
01/06/2009,Bovino fresca/refrigerada,2,13630876
01/07/2009,Bovino fresca/refrigerada,2,11143142
01/08/2009,Bovino fresca/refrigerada,2,9861216
01/09/2009,Bovino fresca/refrigerada,2,9382005
01/10/2009,Bovino fresca/refrigerada,2,10549719
01/11/2009,Bovino fresca/refrigerada,2,10965711
01/12/2009,Bovino fresca/refrigerada,2,11407199
01/01/2010,Bovino fresca/refrigerada,2,11848285
01/02/2010,Bovino fresca/refrigerada,2,10080734
01/03/2010,Bovino fresca/refrigerada,2,17551455
01/04/2010,Bovino fresca/refrigerada,2,15421632
01/05/2010,Bovino fresca/refrigerada,2,19675605
01/06/2010,Bovino fresca/refrigerada,2,18344527
01/07/2010,Bovino fresca/refrigerada,2,20420267
01/08/2010,Bovino fresca/refrigerada,2,22393319
01/09/2010,Bovino fresca/refrigerada,2,19445645
01/10/2010,Bovino fresca/refrigerada,2,19161033
01/11/2010,Bovino fresca/refrigerada,2,20175830
01/12/2010,Bovino fresca/refrigerada,2,19891580
01/01/2011,Bovino fresca/refrigerada,2,21454778
01/02/2011,Bovino fresca/refrigerada,2,23167027
01/03/2011,Bovino fresca/refrigerada,2,31109405
01/04/2011,Bovino fresca/refrigerada,2,28480237
01/05/2011,Bovino fresca/refrigerada,2,29054755
01/06/2011,Bovino fresca/refrigerada,2,29099266
01/07/2011,Bovino fresca/refrigerada,2,25092890
01/08/2011,Bovino fresca/refrigerada,2,28165174
01/09/2011,Bovino fresca/refrigerada,2,24710027
01/10/2011,Bovino fresca/refrigerada,2,26426890
01/11/2011,Bovino fresca/refrigerada,2,27596485
01/12/2011,Bovino fresca/refrigerada,2,25410465
01/01/2012,Bovino fresca/refrigerada,2,34428184
01/02/2012,Bovino fresca/refrigerada,2,32863761
01/03/2012,Bovino fresca/refrigerada,2,37318893
01/04/2012,Bovino fresca/refrigerada,2,34235520
01/05/2012,Bovino fresca/refrigerada,2,42754390
01/06/2012,Bovino fresca/refrigerada,2,40156648
01/07/2012,Bovino fresca/refrigerada,2,44824355
01/08/2012,Bovino fresca/refrigerada,2,48741507
01/09/2012,Bovino fresca/refrigerada,2,42307256
01/10/2012,Bovino fresca/refrigerada,2,48071455
01/11/2012,Bovino fresca/refrigerada,2,44926605
01/12/2012,Bovino fresca/refrigerada,2,39663647
01/01/2013,Bovino fresca/refrigerada,2,44385292
01/02/2013,Bovino fresca/refrigerada,2,45249835
01/03/2013,Bovino fresca/refrigerada,2,46031199
01/04/2013,Bovino fresca/refrigerada,2,46311108
01/05/2013,Bovino fresca/refrigerada,2,41820224
01/06/2013,Bovino fresca/refrigerada,2,40606717
01/07/2013,Bovino fresca/refrigerada,2,43267842
01/08/2013,Bovino fresca/refrigerada,2,42843192
01/09/2013,Bovino fresca/refrigerada,2,42145785
01/10/2013,Bovino fresca/refrigerada,2,47612391
01/11/2013,Bovino fresca/refrigerada,2,41633210
01/12/2013,Bovino fresca/refrigerada,2,40538422
01/01/2014,Bovino fresca/refrigerada,2,46010338
01/02/2014,Bovino fresca/refrigerada,2,47922627
01/03/2014,Bovino fresca/refrigerada,2,62350749
01/04/2014,Bovino fresca/refrigerada,2,52389130
01/05/2014,Bovino fresca/refrigerada,2,63818979
01/06/2014,Bovino fresca/refrigerada,2,64398404
01/07/2014,Bovino fresca/refrigerada,2,75795306
01/08/2014,Bovino fresca/refrigerada,2,76980670
01/09/2014,Bovino fresca/refrigerada,2,73748718
01/10/2014,Bovino fresca/refrigerada,2,71247624
01/11/2014,Bovino fresca/refrigerada,2,63007030
01/12/2014,Bovino fresca/refrigerada,2,73027362
01/01/2015,Bovino fresca/refrigerada,2,68209493
01/02/2015,Bovino fresca/refrigerada,2,78128098
01/03/2015,Bovino fresca/refrigerada,2,90461166
01/04/2015,Bovino fresca/refrigerada,2,88529223
01/05/2015,Bovino fresca/refrigerada,2,84287411
01/06/2015,Bovino fresca/refrigerada,2,91829657
01/07/2015,Bovino fresca/refrigerada,2,98142954
01/08/2015,Bovino fresca/refrigerada,2,79743555
01/09/2015,Bovino fresca/refrigerada,2,73574292
01/10/2015,Bovino fresca/refrigerada,2,81160791
01/11/2015,Bovino fresca/refrigerada,2,70367322
01/12/2015,Bovino fresca/refrigerada,2,70407607
01/01/2016,Bovino fresca/refrigerada,2,73461535
01/02/2016,Bovino fresca/refrigerada,2,80731674
01/03/2016,Bovino fresca/refrigerada,2,75992552
01/04/2016,Bovino fresca/refrigerada,2,85533641
01/05/2016,Bovino fresca/refrigerada,2,90268526
01/06/2016,Bovino fresca/refrigerada,2,88634422
01/07/2016,Bovino fresca/refrigerada,2,76479330
01/08/2016,Bovino fresca/refrigerada,2,86922780
01/09/2016,Bovino fresca/refrigerada,2,79458410
01/10/2016,Bovino fresca/refrigerada,2,84297548
01/11/2016,Bovino fresca/refrigerada,2,83622926
01/12/2016,Bovino fresca/refrigerada,2,71905224
01/01/2017,Bovino fresca/refrigerada,2,79183893
01/02/2017,Bovino fresca/refrigerada,2,72856322
01/03/2017,Bovino fresca/refrigerada,2,83697757
01/04/2017,Bovino fresca/refrigerada,2,70256560
01/05/2017,Bovino fresca/refrigerada,2,87153588
01/06/2017,Bovino fresca/refrigerada,2,86560221
01/07/2017,Bovino fresca/refrigerada,2,90457553
01/08/2017,Bovino fresca/refrigerada,2,87554579
01/09/2017,Bovino fresca/refrigerada,2,75244209
01/10/2017,Bovino fresca/refrigerada,2,88833717
